Commentaire,Sentiment
you are not real,negatif
al natural jajajajaj,neutre
the end of influencers job,negatif
i want to be like you,positif
gorgeous,positif
love that necklace ,positif
i love you ,positif
mas bonita ,positif
location lol,neutre
ai natural,neutre
verry beautiful mi gusta hermosaaa i wish i was that beautiful ,positif
ai good improvement what about security question,positif
 a despertar con estilo que bien te sienta ,positif
eres mas fal sa que un billete de euros jajsj,positif
shes real to me gosh dang itnot really ,positif
hermosa ,positif
nice generation,positif
buena ia mi hermano v,positif
te amoooooooooo,positif
so pretty,positif
so hot,positif
linda,positif
very pretty,positif
continuo a non capire cosa intendono per intelligenza artificiale in questo caso ok creata in ai ma in basa a cosa ai e una richiesta di qualcuno in base a certe specifiche ma quali in che misura,positif
so stunning ,positif
cute,positif
teeter from yellowstone,positif
natural ia,positif
beauty ,positif
perfecy hair,positif
ai is getting wild,positif
ja pensou se nao fosse so imagem se pudesse ser criada ao vivo acho que nao pode mas nao custa imaginar,positif
hi cutie,positif
 i want to bag ai ,positif
hey loves,positif
perfect ,positif
es impresionante lo que ha logrado la tecnologia cuando seremos reemplazados,positif
she is not real its all computer ai,positif
wow love your top and your hair looks gorgeous ,positif
can she do a promo pic with my brand,positif
kl dh ljml wqy lkhyr dhk Sny ,neutre
pantheroriginscom jewelry crafted not extracted,positif
post a pic of your fingers thankyou,positif
you looks too cute,positif
ai girls being jealous of other ai girls please tell me this aint real,positif
calla ,positif
tu pelo es pura fantasia sin dudas ,positif
ai you look so beautiful ,positif
beginning for allot of otherss,positif
Ai natural ,positif
all i want for christmas,neutre
guys follow me new model ,positif
if you guys like adult visual novel check the page,positif
no eres re si fueras criada con ia felicidades pero eres fals no humana,positif
siempre guapa a toda hora ,positif
beautiful ,positif
 all naturel by ki ,positif
i need boys,neutre
it amazes me that this woman is ai and someone is making millions off of it,positif
al natural con mis pezones de extraterrestre ,positif
welcome to barcelona,positif
nice prompt ive done it more like a portrait than a real photo but its awesome ,positif
como consegue fazer varias que nao existe ,positif
belle ia ,positif
all ai,positif
imagina se nao fosse a ia seria eu ,positif
distorted af,positif
she or me ,positif
arh jwn mt al nchrl mm khrym,positif
la cosa mas fls que una un billete de euro ,positif
sei bellissima complimenti davvero,positif
computer ai just need time to become real darling,positif
you are a truly wonderful woman ,positif
love the hair darling,positif
waw ,positif
al natural xd,positif
ficha,positif
looking good ,positif
my babe ,positif
uniqueness ,positif
its unbelieveable shes just a ai model they watched my dreams,positif
ai is beautiful ,positif
